Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
12,,MedGRPO: Multi-Task Reinforcement Learning for Heterogeneous Medical Video Understanding,Yuhao Su; Anwesa Choudhuri; Zhongpai Gao; Benjamin Planche; Van Nguyen Nguyen,2025,,,,,,1,0.000,0.000,,https://www.semanticscholar.org/paper/2b6882a04f0e8cbf22176c5a104c8f77f8dc67e8,,semantic_scholar,,"Large vision-language models struggle with medical video understanding, where spatial precision, temporal reasoning, and clinical semantics are critical. To address this, we first introduce \textbf{MedVidBench}, a large-scale benchmark of 531,850 video-instruction pairs across 8 medical sources span"
13,,Ask a Strong LLM Judge when Your Reward Model is Uncertain,Zhenghao Xu; Qin Lu; Qingru Zhang; Liang Qiu; Ilgee Hong,2025,arXiv.org,,,,,0,0.000,0.000,10.48550/arXiv.2510.20369,https://www.semanticscholar.org/paper/e43f9e5479ff63a7445c6c133f9fbeac45167ebd,,semantic_scholar,,"Reward model (RM) plays a pivotal role in reinforcement learning with human feedback (RLHF) for aligning large language models (LLMs). However, classical RMs trained on human preferences are vulnerable to reward hacking and generalize poorly to out-of-distribution (OOD) inputs. By contrast, strong L"
14,,AugmenToxic: Leveraging Reinforcement Learning to Optimize LLM Instruction Fine-Tuning for Data Augmentation to Enhance Toxicity Detection,Arezo Bodaghi; Benjamin C. M. Fung; Ketra A. Schmitt,2024,ACM Transactions on the Web,,,,,4,0.000,0.000,10.1145/3700791,https://www.semanticscholar.org/paper/b662c5f269ab64f164efcd6a4f6f9aae693f16ff,,semantic_scholar,,Addressing the challenge of toxic language in online discussions is crucial for the development of effective toxicity detection models. This pioneering work focuses on addressing imbalanced datasets in toxicity detection by introducing a novel approach to augment toxic language data. We create a bal
15,,REvolve: Reward Evolution with Large Language Models for Autonomous Driving,Rishi Hazra; Alkis Sygkounas; A. Persson; Amy Loutfi; Pedro Zuidberg Dos Martires,2024,arXiv.org,,,,,12,0.000,0.000,10.48550/arXiv.2406.01309,https://www.semanticscholar.org/paper/bcf2bd95a6f60dd2998b57c26873d31461011e8d,,semantic_scholar,,
16,,AI-Salesman: Towards Reliable Large Language Model Driven Telemarketing,Qingyu Zhang; Chunlei Xin; Xuanang Chen; Yaojie Lu; Hongyu Lin,2025,arXiv.org,,,,,0,0.000,0.000,10.48550/arXiv.2511.12133,https://www.semanticscholar.org/paper/74aae8855aadf81501c5e1d85b90519f6850dec4,,semantic_scholar,,"Goal-driven persuasive dialogue, exemplified by applications like telemarketing, requires sophisticated multi-turn planning and strict factual faithfulness, which remains a significant challenge for even state-of-the-art Large Language Models (LLMs). A lack of task-specific data often limits previou"
17,,REvolve: Reward Evolution with Large Language Models using Human Feedback,Rishi Hazra; Alkis Sygkounas; A. Persson; Amy Loutfi; Pedro Zuidberg Dos Martires,2024,International Conference on Learning Representations,,,,,8,0.000,0.000,,https://www.semanticscholar.org/paper/54c4f894d41095b18294932c0ee8c39ffe3c0ac1,,semantic_scholar,,"Designing effective reward functions is crucial to training reinforcement learning (RL) algorithms. However, this design is non-trivial, even for domain experts, due to the subjective nature of certain tasks that are hard to quantify explicitly. In recent works, large language models (LLMs) have bee"
18,,Personalisation within bounds: A risk taxonomy and policy framework for the alignment of large language models with personalised feedback,Hannah Rose Kirk; Bertie Vidgen; Paul Röttger; Scott A. Hale,2023,arXiv.org,,,,,123,0.000,0.000,10.48550/arXiv.2303.05453,https://www.semanticscholar.org/paper/e5174aeda1baa67c17f4ac630ae2e44453954cc3,http://arxiv.org/pdf/2303.05453,semantic_scholar,,"Large language models (LLMs) are used to generate content for a wide range of tasks, and are set to reach a growing audience in coming years due to integration in product interfaces like ChatGPT or search engines like Bing. This intensifies the need to ensure that models are aligned with human prefe"
19,,Plan Then Retrieve: Reinforcement Learning-Guided Complex Reasoning over Knowledge Graphs,Yanlin Song; Ben Liu; V'ictor Guti'errez-Basulto; Zhiwei Hu; Qianqian Xie,2025,arXiv.org,,,,,0,0.000,0.000,10.48550/arXiv.2510.20691,https://www.semanticscholar.org/paper/ecadd4ca2ed73bb33a063947cc342183644bfd82,,semantic_scholar,,"Knowledge Graph Question Answering aims to answer natural language questions by reasoning over structured knowledge graphs. While large language models have advanced KGQA through their strong reasoning capabilities, existing methods continue to struggle to fully exploit both the rich knowledge encod"
20,,RLSR: Reinforcement Learning from Self Reward,Toby Simonds; Kevin Lopez; Akira Yoshiyama; Dominique Garmier,2025,,,,,,0,0.000,0.000,,https://www.semanticscholar.org/paper/4ba61fe913c00a666a8a97de7b48989ba9ed1564,,semantic_scholar,,"Large language models can generate solutions to complex problems, but training them with reinforcement learning typically requires verifiable rewards that are expensive to create and not possible for all domains. We demonstrate that LLMs can effectively self-improve through self-judging without refe"
21,,Structured Uncertainty guided Clarification for LLM Agents,Manan Suri; Puneet Mathur; Nedim Lipka; Franck Dernoncourt; Ryan A. Rossi,2025,arXiv.org,,,,,0,0.000,0.000,10.48550/arXiv.2511.08798,https://www.semanticscholar.org/paper/18137165c58657a515e73d10a27e8b3f44dce554,,semantic_scholar,,"LLM agents extend large language models with tool-calling capabilities, but ambiguous user instructions often lead to incorrect invocations and task failures. We introduce a principled formulation of structured uncertainty over tool-call parameters, modeling joint tool-argument clarification as a PO"
