Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,,MotionDiffuse: Text-Driven Human Motion Generation With Diffusion Model,Mingyuan Zhang; Zhongang Cai; Liang Pan; Fangzhou Hong; Xinying Guo,2022,IEEE Transactions on Pattern Analysis and Machine Intelligence,,,,,792,0.000,0.000,10.1109/TPAMI.2024.3355414,https://www.semanticscholar.org/paper/1bbf99b5bfe9869876ac3bdd2999e16b2632c283,https://arxiv.org/pdf/2208.15001,semantic_scholar,,"Human motion modeling is important for many modern graphics applications, which typically require professional skills. In order to remove the skill barriers for laymen, recent motion generation methods can directly generate human motions conditioned on natural languages. However, it remains challeng"
2,,MotionCLIP: Exposing Human Motion Generation to CLIP Space,Guy Tevet; Brian Gordon; Amir Hertz; Amit H. Bermano; D. Cohen-Or,2022,European Conference on Computer Vision,,,,,457,0.000,0.000,10.48550/arXiv.2203.08063,https://www.semanticscholar.org/paper/e82df4b6a3628501fce67835ad8316d6525ad133,http://arxiv.org/pdf/2203.08063,semantic_scholar,,"We introduce MotionCLIP, a 3D human motion auto-encoder featuring a latent embedding that is disentangled, well behaved, and supports highly semantic textual descriptions. MotionCLIP gains its unique power by aligning its latent space with that of the Contrastive Language-Image Pre-training (CLIP) m"
3,,OmniControl: Control Any Joint at Any Time for Human Motion Generation,Yiming Xie; Varun Jampani; Lei Zhong; Deqing Sun; Huaizu Jiang,2023,International Conference on Learning Representations,,,,,188,0.000,0.000,10.48550/arXiv.2310.08580,https://www.semanticscholar.org/paper/ab31b3e6e35f661ec840e5bee6efeee8b6aaf7bc,https://arxiv.org/pdf/2310.08580,semantic_scholar,,"We present a novel approach named OmniControl for incorporating flexible spatial control signals into a text-conditioned human motion generation model based on the diffusion process. Unlike previous methods that can only control the pelvis trajectory, OmniControl can incorporate flexible spatial con"
4,,InterGen: Diffusion-Based Multi-human Motion Generation Under Complex Interactions,Hanming Liang; Wenqian Zhang; Wenxu Li; Jingyi Yu; Lan Xu,2023,International Journal of Computer Vision,,,,,180,0.000,0.000,10.1007/s11263-024-02042-6,https://www.semanticscholar.org/paper/390eabbedf9a25d82eefd01a484b1f81fdd801df,http://arxiv.org/pdf/2304.05684,semantic_scholar,,"We have recently seen tremendous progress in diffusion advances for generating realistic human motions. Yet, they largely disregard the multi-human interactions. In this paper, we present InterGen, an effective diffusion-based approach that enables layman users to customize high-quality two-person i"
5,,HUMANISE: Language-conditioned Human Motion Generation in 3D Scenes,Zan Wang; Yixin Chen; Tengyu Liu; Yixin Zhu; Wei Liang,2022,Neural Information Processing Systems,,,,,164,0.000,0.000,10.48550/arXiv.2210.09729,https://www.semanticscholar.org/paper/95054a9501ace643ce8fc652d6fb59d481d7231c,http://arxiv.org/pdf/2210.09729,semantic_scholar,,"Learning to generate diverse scene-aware and goal-oriented human motions in 3D scenes remains challenging due to the mediocre characteristics of the existing datasets on Human-Scene Interaction (HSI); they only have limited scale/quality and lack semantics. To fill in the gap, we propose a large-sca"
6,,CuRobo: Parallelized Collision-Free Robot Motion Generation,Balakumar Sundaralingam; S. Hari; Adam Fishman; Caelan Reed Garrett; Karl Van Wyk,2023,IEEE International Conference on Robotics and Automation,,,,,123,0.000,0.000,10.1109/ICRA48891.2023.10160765,https://www.semanticscholar.org/paper/4452d0f57c7d336ffc51a72a74c02854f547bfda,,semantic_scholar,,This paper explores the problem of collision-free motion generation for manipulators by formulating it as a global motion optimization problem. We develop a parallel optimization technique to solve this problem and demonstrate its effectiveness on massively parallel GPUs. We show that combining simp
7,,Motion Mamba: Efficient and Long Sequence Motion Generation with Hierarchical and Bidirectional Selective SSM,Zeyu Zhang; Akide Liu; Ian Reid; Richard Hartley; Bohan Zhuang,2024,European Conference on Computer Vision,,,,,105,0.000,0.000,10.48550/arXiv.2403.07487,https://www.semanticscholar.org/paper/b9646f057887825d7471ec01664494b0b7ca5a83,,semantic_scholar,,"Human motion generation stands as a significant pursuit in generative computer vision, while achieving long-sequence and efficient motion generation remains challenging. Recent advancements in state space models (SSMs), notably Mamba, have showcased considerable promise in long sequence modeling wit"
8,,Human Motion Generation: A Survey,Wentao Zhu; Xiaoxuan Ma; D. Ro; Hai Ci; Jinlu Zhang,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,,,,,103,0.000,0.000,10.1109/TPAMI.2023.3330935,https://www.semanticscholar.org/paper/051a7d88d82734bb143341815b5cceb1f9014f54,https://arxiv.org/pdf/2307.10894,semantic_scholar,,"Human motion generation aims to generate natural human pose sequences and shows immense potential for real-world applications. Substantial progress has been made recently in motion data collection technologies and generation methods, laying the foundation for increasing interest in human motion gene"
9,,AttT2M: Text-Driven Human Motion Generation with Multi-Perspective Attention Mechanism,Chongyang Zhong; Lei Hu; Zihao Zhang; Shihong Xia,2023,IEEE International Conference on Computer Vision,,,,,96,0.000,0.000,10.1109/ICCV51070.2023.00053,https://www.semanticscholar.org/paper/43f8b8b750d4505c456c422422b8227d6164cbed,https://arxiv.org/pdf/2309.00796,semantic_scholar,,"Generating 3D human motion based on textual descriptions has been a research focus in recent years. It requires the generated motion to be diverse, natural, and conform to the textual description. Due to the complex spatio-temporal nature of human motion and the difficulty in learning the cross-moda"
10,,Fg-T2M: Fine-Grained Text-Driven Human Motion Generation via Diffusion Model,Yin Wang; Zhiying Leng; Frederick W. B. Li; Shun-Cheng Wu; Xiaohui Liang,2023,IEEE International Conference on Computer Vision,,,,,82,0.000,0.000,10.1109/ICCV51070.2023.02014,https://www.semanticscholar.org/paper/96254f685b2cee4013666bc95759d0c95a8ad3b5,https://durham-repository.worktribe.com/preview/1736456/1735623AAM.pdf,semantic_scholar,,"Text-driven human motion generation in computer vision is both significant and challenging. However, current methods are limited to producing either deterministic or imprecise motion sequences, failing to effectively control the temporal and spatial relationships required to conform to a given text "
