Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,,Reason2Decide: Rationale-Driven Multi-Task Learning,H M Quamran Hasan; Housam Khalifa Bashier; Jiayi Dai; Mi-Young Kim; Randy Goebel,2025,arXiv (Cornell University),,,,,0,0.000,0.000,,https://openalex.org/W7117277561,https://arxiv.org/pdf/2512.20074,openalex,,"Despite the wide adoption of Large Language Models (LLM)s, clinical decision support systems face a critical challenge: achieving high predictive accuracy while generating explanations aligned with the predictions. Current approaches suffer from exposure bias leading to misaligned explanations. We p"
2,,Rectify Evaluation Preference: Improving LLMs' Critique on Math Reasoning via Perplexity-aware Reinforcement Learning,Changyuan Tian; Zhicong Lu; Qian Shuang; Nayu Liu; Peiguang Li,2025,arXiv (Cornell University),,,,,0,0.000,0.000,10.48550/arxiv.2511.10303,https://openalex.org/W4416238887,https://arxiv.org/pdf/2511.10303,openalex,,"To improve Multi-step Mathematical Reasoning (MsMR) of Large Language Models (LLMs), it is crucial to obtain scalable supervision from the corpus by automatically critiquing mistakes in the reasoning process of MsMR and rendering a final verdict of the problem-solution. Most existing methods rely on"
3,,To Judge or Not to Judge: Using LLM Judgements for Advertiser Keyphrase Relevance at eBay,Soumik Dey; Hansi Wu; Binbin Li,2025,Frontiers in artificial intelligence and applications,,,,,0,0.000,0.000,10.3233/faia251471,https://openalex.org/W4415427426,https://doi.org/10.3233/faia251471,openalex,,E-commerce sellers are recommended keyphrases based on their inventory on which they advertise to increase buyer engagement (clicks/sales). The relevance of advertiser keyphrases plays an important role in preventing the inundation of search systems with numerous irrelevant items that compete for at
4,,"Internet of Agents: Fundamentals, Applications, and Challenges",Yuntao Wang; Shaolong Guo; Yanghe Pan; Zhou Su; Fahao Chen,2025,IEEE Transactions on Cognitive Communications and Networking,,,,,4,0.000,0.000,10.1109/tccn.2025.3623369,https://openalex.org/W4415368556,https://arxiv.org/pdf/2505.07176,openalex,,"With the rapid proliferation of large language models and vision-language models, AI agents have evolved from isolated, task-specific systems into autonomous, interactive entities capable of perceiving, reasoning, and acting without human intervention. As these agents proliferate across virtual and "
5,,NoteIt: A System Converting Instructional Videos to Interactable Notes Through Multimodal Video Understanding,Running Zhao; Zhihan Jiang; Xinchen Zhang; Chun-Jey Chang; Handi Chen,2025,,,,,,0,0.000,0.000,10.1145/3746059.3747626,https://openalex.org/W4415239351,https://arxiv.org/pdf/2508.14395,openalex,,"Users often take notes for instructional videos to access key knowledge later without revisiting long videos. Automated note generation tools enable users to obtain informative notes efficiently. However, notes generated by existing research or off-the-shelf tools fail to preserve the information co"
6,,An Innovative Retrieval-Augmented Generation Framework for Stage-Specific Knowledge Translation in Biomimicry Design,Hsueh-Kuan Chen; Hung-Hsiang Wang,2025,Biomimetics,,,,,2,0.000,0.000,10.3390/biomimetics10090626,https://openalex.org/W4414283556,https://www.mdpi.com/2313-7673/10/9/626/pdf?version=1758108308,openalex,,"Converting biological strategies into practical design principles during the Discover–Abstract phase of the Biomimicry Design Spiral (BSD) presents a considerable obstacle, particularly for designers lacking a biological background. This research introduces a Retrieval-Augmented Generation (RAG) fra"
7,,Automated Summarization of Software Documents: An LLM-based Multi-Agent Approach,Dan Phuoc Nguyen; Minh T. Nguyen; Phuong T. Nguyen; Juri Di Rocco; Davide Di Ruscio,2025,,,,,,0,0.000,0.000,10.21203/rs.3.rs-7539426/v1,https://openalex.org/W4414280973,https://www.researchsquare.com/article/rs-7539426/latest.pdf,openalex,,"<title>Abstract</title> Large Language Models (LLMs) and LLM-based Multi-Agent Sys-tems (MAS) are revolutionizing software engineering (SE) by advancing automation, decision-making, and knowledge processing. Their recent application to SE tasks has already shown promising results. In this paper, we "
8,,Dynamic adaptive algorithms in personalized literacy interventions: A data-driven analysis of vocabulary development outcomes,Hamed Ghaemı; Azita Bahrami,2025,Journal of Pedagogical Sociology and Psychology,,,,,0,0.000,0.000,10.33902/jpsp.202535544,https://openalex.org/W4414295341,https://www.j-psp.com/download/dynamic-adaptive-algorithms-in-personalized-literacy-interventions-a-data-driven-analysis-of-17079.pdf,openalex,,
9,,"Synergy, Not Substitution. Responsible Human–AI Collaboration in Academic Research",Marco V. Crivellaro,2025,Preprints.org,,,,,1,0.000,0.000,10.20944/preprints202509.1249.v1,https://openalex.org/W4414304371,https://www.preprints.org/frontend/manuscript/ac206910004ffc4e20ac3548ffc47ed4/download_pub,openalex,,"Artificial intelligence (AI) is rapidly reshaping academic research, offering powerful tools for literature review, data analysis, and knowledge synthesis while raising pressing concerns about reliability, integrity, and ethics. This paper provides an integrative review combining thematic syntheses "
10,,"Qualitative Research in an Era of AI: A Pragmatic Approach to Data Analysis, Workflow, and Computation",Corey M. Abramson; Zhuofan Li; Tara Prendergast; Daniel Dohan,2025,,,,,,0,0.000,0.000,10.31235/osf.io/7bsgy_v1,https://openalex.org/W4414229989,https://osf.io/7bsgy_v1/download,openalex,,Rapid computational developments—particularly the proliferation of artificial intelligence (AI)—increasingly shape social scientific research while raising new questions about in-depth qualitative methods such as ethnography and interviewing. Building on classic debates about using computers to anal
11,,Frontier AI Safety Confidence Evaluate,Stephen F. Bart; Zepeng Wu; YE Rachmad; Yongchang Hao; Duo Lan,2025,,,,,,0,0.000,0.000,10.33774/coe-2025-rhlbg,https://openalex.org/W4414240222,https://www.cambridge.org/engage/api-gateway/coe/assets/orp/resource/item/68bbf625728bf9025ebb3dcc/original/frontier-ai-safety-confidence-evaluate.pdf,openalex,,"Frontier AI systems bring societal benefits while also posing new risks, prompting AI developers and regulators to explore safety assurance methods. Safety cases—structured arguments supporting top-level claims about a system’s safety properties—are a viable option among these methods. However, such"
12,,Evaluating Dense Model-based Approaches for Multimodal Medical Case Retrieval,C. H. de P. Pires; Sérgio Nunes; Luís F. Teixeira,2025,Information Retrieval Research,,,,,0,0.000,0.000,10.54195/irrj.19769,https://openalex.org/W4414257648,https://irrj.org/article/download/19769/25855,openalex,,"Medical case retrieval plays a crucial role in clinical decision-making by enabling healthcare professionals to find relevant cases based on patient records, diagnostic images, and textual descriptions. Given the inherently multimodal nature of medical data, effective retrieval requires models that "
13,,Justices on Autopilot: Thinking-Fast Evidence from State Supreme Court Oral Arguments,Thomas Altmann,2025,Journal of Law and Courts,,,,,0,0.000,0.000,10.1017/jlc.2025.10008,https://openalex.org/W4414183555,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/92ED7B24AF3CC9A2F98D017A1C86D3EE/S2164657025100089a.pdf/div-class-title-justices-on-autopilot-thinking-fast-evidence-from-state-supreme-court-oral-arguments-div.pdf,openalex,,"Abstract Do oral arguments influence state supreme courts, and if so, how? Focusing on a “thinking-fast” framework, this study analyzes 2014–2021 New York Court of Appeals oral arguments to test whether non-traditional factors such as expressed emotion can shape decisions. Empirical analysis drawn f"
14,,"Large Language Model Agents for Biomedicine: A Comprehensive Review of Methods, Evaluations, Challenges, and Future Directions",Xiaoran Xu; Ravi Sankar,2025,,,,,,0,0.000,0.000,10.22541/au.175795684.47167615/v1,https://openalex.org/W4414199736,https://www.authorea.com/doi/pdf/10.22541/au.175795684.47167615/v1,openalex,,"Large language model (LLM) based agents are rapidly emerging as transformative tools across biomedical research and clinical applications. By integrating reasoning, planning, memory, and tool use capabilities, these agents go beyond static language models to operate autonomously or collaboratively w"
15,,GenRL FinTech: Supporting the Risk Management Process through Reinforcement Intelligence,Rafsun Sheikh; Shah Jahan Miah; Peter J. Cook,2025,,,,,,0,0.000,0.000,10.21203/rs.3.rs-7190065/v1,https://openalex.org/W4414202539,https://www.researchsquare.com/article/rs-7190065/latest.pdf,openalex,,"<title>Abstract</title> Bringing technical innovations to managing financial risks has been a significant issue for managers in FinTech (financial technologies) organizations. Although FinTech organizations always explore to find new methods of Financial Risk Management (FRM), specifically for achie"
16,,"How Binding Is Administrative Guidance? An Empirical Study of Guidance, Rules, and the Courts Telling Them Apart",Amit Haim,2025,Journal of Empirical Legal Studies,,,,,0,0.000,0.000,10.1111/jels.70009,https://openalex.org/W4414253005,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jels.70009,openalex,,"ABSTRACT Guidance documents are a main pillar of the modern administrative state. While federal agencies issue thousands of rules every year through notice‐and‐comment rulemaking, they issue even more guidance documents in various forms. There is, however, an ongoing and fierce dispute over agencies"
17,,From Black Hole Thermodynamics to Provably Reliable AI: The Geometrically Constrained ISI-ERA Architecture,Gilles Philippe Robert Darragi,2025,,,,,,0,0.000,0.000,10.31219/osf.io/fq9hs_v1,https://openalex.org/W4414122594,https://osf.io/fq9hs_v1/download,openalex,,"Executive Summary (English)This report provides a rigorous scientific analysis of the paper ""From Black Hole Thermodynamics to Provably Reliable AI,"" which introduces the Geometrically Constrained ISI-ERA Architecture. The paper addresses a fundamental challenge in artificial intelligence: the inher"
18,,"The Five Ws of Multi-Agent Communication: Who Talks to Whom, When, What, and Why - A Survey from MARL to Emergent Language and LLMs",Jingdi Chen; Hanqing Yang; Z Liu; Vincent W. S. Wong,2025,,,,,,0,0.000,0.000,10.36227/techrxiv.175760290.08279849/v1,https://openalex.org/W4414123240,https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.175760290.08279849/v1,openalex,,
19,,Explainable Surgical Procedures Recommender System Leveraging Large Language Models,Adir Solomon; Maxim Glebov; Teddy Lazebnik,2025,ACM Transactions on Recommender Systems,,,,,0,0.000,0.000,10.1145/3767326,https://openalex.org/W4414128177,https://dl.acm.org/doi/pdf/10.1145/3767326,openalex,,"Significant advancements have recently been made in the fields of recommender systems and natural language processing, particularly with large language models (LLMs). In most cases, recommender systems have been used to suggest items and enhance personalization for users, while LLMs have been applie"
20,,Unique Security and Privacy Threats of Large Language Models: A Comprehensive Survey,Shang Wang; Tianqing Zhu; Bo Liu; Ming Ding; Dayong Ye,2025,ACM Computing Surveys,,,,,0,0.000,0.000,10.1145/3764113,https://openalex.org/W4414128359,https://dl.acm.org/doi/pdf/10.1145/3764113,openalex,,"With the rapid development of artificial intelligence, large language models (LLMs) have made remarkable advancements in natural language processing. These models are trained on vast datasets to exhibit powerful language understanding and generation capabilities across various applications, includin"
21,,Generative AI and cybersecurity: Exploring opportunities and threats at their intersection,Kunter Orpak,2025,Maandblad Voor Accountancy en Bedrijfseconomie,,,,,0,0.000,0.000,10.5117/mab.99.149299,https://openalex.org/W4414092634,https://mab-online.nl/article/149299/download/pdf/,openalex,,"Generative AI, particularly large language models (LLMs), is reshaping the cybersecurity landscape by enabling both innovative defense mechanisms and novel forms of attack. This article explores the dual role of generative AI in both offensive and defensive cybersecurity operations. While GenAI offe"
22,,Addressing Trust Requirements in the Design of an Open-Source Multi-Agent LLM-Based Domain-Specific Chatbot,Jonatan Axetorn; Felix Edholm; Felix Dobslaw; Lucas Gren,2025,,,,,,0,0.000,0.000,10.21203/rs.3.rs-7494256/v1,https://openalex.org/W4414150840,https://www.researchsquare.com/article/rs-7494256/latest.pdf,openalex,,"<title>Abstract</title> Large Language Models (LLMs) have the potential to automate knowledge-intensive interactions in enterprise systems, yet their adoption is often limited. One reason is a lack of user trust. This study examines how trust can be systematically engineered into an LLM-driven, mult"
23,,Global Risk Index for AI-enabled Biological Tools (Public Report),T. B. L. Webster; Richard Moulange; Barbara Del Castello; James Walker; Sana Zakaria,2025,,,,,,2,0.000,0.000,10.71172/wjyw-6dyc,https://openalex.org/W4414146644,https://www.longtermresilience.org/wp-content/uploads/2025/09/Global-Risk-Index-for-AI-enabled-Biological-Tools_Public-Report-1.pdf,openalex,,
24,,Forbidden second harmonics in centrosymmetric bilayer crystals,Haoning Tang; Zhitong Ding; Tianyi Ruan; Zeyu Hao; Kenji Watanabe,2026,arXiv,,,,,0,0.000,0.000,,http://arxiv.org/abs/2601.08830v1,https://arxiv.org/pdf/2601.08830v1,arxiv,,"Optical spectroscopy based on second-order nonlinearity is a critical technique for characterizing two-dimensional (2D) crystals as well as bioimaging and quantum optics. It is generally believed that second-harmonic generation (SHG) in centrosymmetric crystals, such as graphene and other bilayer 2D"
