Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,i4BiQK5Ndw,TopoMHC: Sequence–Topology Fusion for MHC Binding,,2026,ICLR 2026,main,Active,"applications to physical sciences (physics, chemistry, biology, etc.)",immunogenicity prediction;major histocompatibility complex;peptide representation learning;statistical topology;persistent homology;protein language models;cross-modal learning;vaccine design,0,18.819,0.000,,https://openreview.net/forum?id=i4BiQK5Ndw,,offline_iclr,,"Accurate prediction of peptide immunogenicity, particularly the binding affinity to major histocompatibility complex (MHC) molecules, is critical for vaccine design and immunotherapy. Existing approaches are predominantly sequence-based and often overlook structural variability and topological organ"
2,TcVCu2PKb9,TransMLA: Migrating GQA Models to MLA with Full DeepSeek Compatibility and Speedup,Fanxu Meng; Pingzhi Tang; Zengwei Yao; Xing Sun; Muhan Zhang,2025,NIPS 2025,main,Spotlight,deep_learning,Deepseek;MLA;RoPE;PCA;LLaMA;Qwen;GQA;MHA,0,13.210,0.000,,https://openreview.net/forum?id=TcVCu2PKb9,,offline_nips,,"Modern large-language models often face communication bottlenecks on current hardware rather than computational limitations. 
*Multi-head latent attention (MLA)* addresses this by compressing the key-value cache using low-rank matrices, while the Absorb operation prevents the KV cache from reverting"
3,PzIc2TxhwN,Seek-CAD: A Self-refined Generative Modeling for 3D Parametric CAD Using Local Inference via DeepSeek,,2026,ICLR 2026,main,Active,"applications to computer vision, audio, language, and other modalities",CAD generative modeling; parametric CAD sequence;,0,11.099,0.000,,https://openreview.net/forum?id=PzIc2TxhwN,,offline_iclr,,"The advent of Computer-Aided Design (CAD) generative modeling will significantly transform the design of industrial products. The recent research endeavor has extended into the realm of Large Language Models (LLMs). In contrast to fine-tuning methods, training-free approaches typically utilize the a"
4,YJ31taYf2A,Predicting the Order of Upcoming Tokens Improves Language Modeling,,2026,ICLR 2026,main,Active,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",language modeling;next token prediction;multi-token prediction;auxiliary loss,0,11.026,0.000,,https://openreview.net/forum?id=YJ31taYf2A,,offline_iclr,,"Multi-Token Prediction (MTP) has been proposed as an auxiliary objective to improve next-token prediction (NTP) in language model training but shows inconsistent improvements, underperforming in standard NLP benchmarks. We found MTP's exact future token prediction to be too difficult as an auxiliary"
5,CeBJLnb0Iw,Long CoT In-Context Learning Can Empower Pre-trained LLMs,,2026,ICLR 2026,main,Active,"foundation or frontier models, including LLMs",In-Context Learning;Long CoT Reasoning;Large Language model;,0,10.228,0.000,,https://openreview.net/forum?id=CeBJLnb0Iw,,offline_iclr,,"Recent advances in Large Reasoning Models (LRMs) highlight the importance of long chain-of-thought (CoT) reasoning for complex tasks. However, most existing methods rely post-training that tunes the model parameters, obscuring whether pre-trained models intrinsically possess such capabilities. We pr"
6,jxxjvzXOdG,Can Reasoning Language Models Think More Creatively? A Study of Reasoning Ability and Overconfidence,,2026,ICLR 2026,main,Active,generative models,LLM;Reasoning model;mathematics;hallucination;overconfidence,0,8.601,0.000,,https://openreview.net/forum?id=jxxjvzXOdG,,offline_iclr,,"Recent advances in Large Language Models (LLMs) have been largely attributed to improvements in reasoning abilities. Reasoning models trained with Supervised Fine-Tuning (SFT) and Reinforcemenet Learning (RL), such as Policy Optimization (PO), demonstrate significantly superior performance compared "
7,jOsuKwiCL0,Value-Guided Search for Efficient Chain-of-Thought Reasoning,Kaiwen Wang; Jin Peng Zhou; Jonathan Daniel Chang; Zhaolin Gao; Nathan Kallus,2025,NIPS 2025,main,Poster,reinforcement_learning,Value-Guided Search;Chain-of-Thought Reasoning;Competition Math,0,8.339,0.000,,https://openreview.net/forum?id=jOsuKwiCL0,,offline_nips,,"In this paper, we propose a simple and efficient method for value model training on long-context reasoning traces. Compared to existing process reward models (PRMs), our method does not require a fine-grained notion of ``step,'' which is difficult to define for long-context reasoning models.
By coll"
8,Tx9HKhGeQW,Reinforcing Query-Level Meta-Agents,,2026,ICLR 2026,main,Active,"foundation or frontier models, including LLMs",Large Language Models;Multi-Agent System;Automatic Workflow Design;Large Reasoning Models,0,8.299,0.000,,https://openreview.net/forum?id=Tx9HKhGeQW,,offline_iclr,,"This paper proposes a query-level meta-agent named FlowReasoner to automate the design of query-level multi-agent systems, i.e., one system per user query. Our core idea is to incentivize a reasoning-based meta-agent via external execution feedback. Concretely, by distilling DeepSeek R1, we first en"
9,f2VxF4QIx1,Benchmarking Overton Pluralism in LLMs,,2026,ICLR 2026,main,Active,"alignment, fairness, safety, privacy, and societal considerations",Pluralism;Overton pluralism;pluralistic alignment;benchmark,0,7.956,0.000,,https://openreview.net/forum?id=f2VxF4QIx1,,offline_iclr,,"We introduce a novel framework for measuring Overton pluralism in LLMs—the extent to which diverse viewpoints are represented in model outputs. We (i) formalize Overton pluralism as a set-coverage metric (OVERTONSCORE), (ii) conduct a large-scale US-representative human study (N=1209; 60 questions; "
10,2a36EMSSTp,DAPO: An Open-Source LLM Reinforcement Learning System at Scale,Qiying Yu; Zheng Zhang; Ruofei Zhu; Yufeng Yuan; Xiaochen Zuo,2025,NIPS 2025,main,Poster,deep_learning,LLM;Reasoning;RL,0,7.938,0.000,,https://openreview.net/forum?id=2a36EMSSTp,,offline_nips,,"Inference scaling empowers LLMs with unprecedented reasoning ability, with reinforcement learning as the core technique to elicit complex reasoning. However, key technical details of state-of-the-art reasoning LLMs are concealed (such as in OpenAI o1 blog and DeepSeek R1 technical report), thus the "
