Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,2024.findings-emnlp.400,"Few-shot clinical entity recognition in English, French and Spanish: masked language models outperform generative model prompting",Marco Naguib; Xavier Tannier; Aurélie Névéol,2024,EMNLP 2024,main,finding,,,0,19.581,0.000,,https://aclanthology.org/2024.findings-emnlp.400/,https://aclanthology.org/2024.findings-emnlp.400.pdf,offline_emnlp,,"Large language models (LLMs) have become the preferred solution for many natural language processing tasks. In low-resource environments such as specialized domains, their few-shot capabilities are expected to deliver high performance. Named Entity Recognition (NER) is a critical task in information"
2,2024.emnlp-main.763,Preserving Generalization of Language models in Few-shot Continual Relation Extraction,Quyen Tran; Nguyen Xuan Thanh; Nguyen Hoang Anh; Nam Le Hai; Trung Le,2024,EMNLP 2024,main,Main,,,0,19.486,0.000,,https://aclanthology.org/2024.emnlp-main.763/,https://aclanthology.org/2024.emnlp-main.763.pdf,offline_emnlp,,"Few-shot Continual Relations Extraction (FCRE) is an emerging and dynamic area of study where models can sequentially integrate knowledge from new relations with limited labeled data while circumventing catastrophic forgetting and preserving prior knowledge from pre-trained backbones. In this work, "
3,Mu2tNzS0AM,LLM-Informed Semi-Supervised Learning for Text Classification,Tiberiu Sosea; Cornelia Caragea,2025,ICLR 2025,main,Reject,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",semi-supervised learning;LLM,0,19.429,0.000,,https://openreview.net/forum?id=Mu2tNzS0AM,,offline_iclr,,"Large Language Models (LLMs) have shown impressive zero-shot and few-shot capabilities in many NLP tasks including text classification. While these models outperform others in terms of raw performance when few examples are available, they are expensive to use in practice and may lag behind tradition"
4,vg31nvdrzF,Small Visual Language Models can also be Open-Ended Few-Shot Learners,Mohammad Mahdi Derakhshani; Ivona Najdenkoska; Cees G. M. Snoek; Marcel Worring; Yuki M Asano,2024,ICLR 2024,main,Withdraw,"representation learning for computer vision, audio, language, and other modalities",multimodal few-shot learning;visual language models;self-supervised learning;in-context learning,0,19.195,0.000,,https://openreview.net/forum?id=vg31nvdrzF,,offline_iclr,,"We present Self-Context Adaptation (SeCAt), a self-supervised approach that unlocks open-ended few-shot abilities of small visual language models. Our proposed adaptation algorithm explicitly learns from symbolic, yet self-supervised training tasks. Specifically, our approach imitates image captions"
5,DgB01RzOqo,Multilingual Large Language Models Are Not (Yet) Code-Switchers,Ruochen Zhang; Samuel Cahyawijaya; Jan Christian Blaise Cruz; Genta Indra Winata; Alham Fikri Aji,2023,EMNLP 2023,main,Long Main,,code-switching;benchmark;multilingual large language models,0,19.194,0.000,,https://openreview.net/forum?id=DgB01RzOqo,,offline_emnlp,,"Multilingual Large Language Models (LLMs) have recently shown great capabilities in a wide range of tasks, exhibiting state-of-the-art performance through zero-shot or few-shot prompting methods. While there have been extensive studies on their abilities in monolingual tasks, the investigation of th"
6,2023.acl-industry.32,Boosting Transformers and Language Models for Clinical Prediction in Immunotherapy,Zekai Chen; Mariann Micsinai Balan; Kevin Brown,2023,ACL 2023,main,Industry,,,0,19.090,0.000,,https://aclanthology.org/2023.acl-industry.32/,https://aclanthology.org/2023.acl-industry.32.pdf,offline_acl,,"Clinical prediction is an essential task in the healthcare industry. However, the recent success of transformers, on which large language models are built, has not been extended to this domain. In this research, we explore the use of transformers and language models in prognostic prediction for immu"
7,2023.findings-acl.853,Making Pre-trained Language Models Better Learn Few-Shot Spoken Language Understanding in More Practical Scenarios,Yufan Wang; Jie Mei; Bowei Zou; Rui Fan; Tingting He,2023,ACL 2023,main,Findings,,,0,19.087,0.000,,https://aclanthology.org/2023.findings-acl.853/,https://aclanthology.org/2023.findings-acl.853.pdf,offline_acl,,"Most previous few-shot Spoken Language Understanding (SLU) models typically need to be trained on a set of data-rich source domains and adapt to the target domain with a few examples. In this paper, we explore a more practical scenario for few-shot SLU, in which we only assume access to a pre-traine"
8,Nx9D21g1lW,PivotFEC: Enhancing Few-shot Factual Error Correction with a Pivot Task Approach using Large Language Models,Xingwei He; A-Long Jin; Jun Ma; Yuan Yuan; Siu Ming Yiu,2023,EMNLP 2023,main,Long Findings,,Factual Error Correction;Large Language Models;Few-shot,0,19.016,0.000,,https://openreview.net/forum?id=Nx9D21g1lW,,offline_emnlp,,"Factual Error Correction (FEC) aims to rectify false claims by making minimal revisions to align them more accurately with supporting evidence. However, the lack of datasets containing false claims and their corresponding corrections has impeded progress in this field. Existing distantly supervised "
9,2023.acl-long.855,CodeIE: Large Code Generation Models are Better Few-Shot Information Extractors,Peng Li; Tianxiang Sun; Qiong Tang; Hang Yan; Yuanbin Wu,2023,ACL 2023,main,Long,,,0,18.988,0.000,,https://aclanthology.org/2023.acl-long.855/,https://aclanthology.org/2023.acl-long.855.pdf,offline_acl,,Large language models (LLMs) pre-trained on massive corpora have demonstrated impressive few-shot learning ability on many NLP tasks. A common practice is to recast the task into a text-to-text format such that generative LLMs of natural language (NL-LLMs) like GPT-3 can be prompted to solve it. How
10,2023.findings-acl.278,Prompt to be Consistent is Better than Self-Consistent? Few-Shot and Zero-Shot Fact Verification with Pre-trained Language Models,Fengzhu Zeng; Wei Gao,2023,ACL 2023,main,Findings,,,0,18.971,0.000,,https://aclanthology.org/2023.findings-acl.278/,https://aclanthology.org/2023.findings-acl.278.pdf,offline_acl,,"Few-shot or zero-shot fact verification only relies on a few or no labeled training examples. In this paper, we propose a novel method called ProToCo, to Prompt pre-trained language models (PLMs) To be Consistent, for improving the factuality assessment capability of PLMs in the few-shot and zero-sh"
