Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,8UZpmrxoLG,Astra: General Interactive World Model with Autoregressive Denoising,,2026,ICLR 2026,main,Active,generative models,world model;video generation,0,0.897,0.583,,https://openreview.net/forum?id=8UZpmrxoLG,,offline_iclr,,"Recent advances in diffusion transformers have empowered video generation models to generate high-quality video clips from texts or images. However, world models with the ability to predict long-horizon futures from past observations and actions remain underexplored, especially for general-purpose s"
2,pFyzqbUiF9,Vid2World: Crafting Video Diffusion Models to Interactive World Models,,2026,ICLR 2026,main,Active,"foundation or frontier models, including LLMs",World Models;Video Diffusion Models,0,0.746,0.569,,https://openreview.net/forum?id=pFyzqbUiF9,,offline_iclr,,"World models, which predict future transitions from past observation and action sequences, have shown great promise for improving data efficiency in sequential decision-making. However, existing world models often require extensive domain-specific training and still produce low-fidelity, coarse pred"
3,2rPoTgEmjV,Look Ahead or Look Around? A Theoretical Comparison Between Autoregressive and Masked Pretraining,Qi Zhang; Tianqi Du; Haotian Huang; Yifei Wang; Yisen Wang,2024,ICML 2024,main,Poster,,,0,1.000,0.568,,https://icml.cc/virtual/2024/poster/35091,https://openreview.net/pdf?id=2rPoTgEmjV,offline_icml,,"In recent years, the rise of generative self-supervised learning (SSL) paradigms has exhibited impressive performance across visual, language, and multi-modal domains. While the varied designs of generative SSL objectives lead to distinct properties in downstream tasks, a theoretical understanding o"
4,2672,Epona: Autoregressive Diffusion World Model for Autonomous Driving,Kaiwen Zhang; Zhenyu Tang; Xiaotao Hu; Xingang Pan; Xiaoyang Guo,2025,ICCV 2025,main,Poster,,,0,0.950,0.566,,https://iccv.thecvf.com/virtual/2025/poster/2672,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_Epona_Autoregressive_Diffusion_World_Model_for_Autonomous_Driving_ICCV_2025_paper.pdf,offline_iccv,,"Diffusion models have demonstrated exceptional visual quality in video generation, making them promising for autonomous driving world modeling. However, existing video diffusion-based world models struggle with flexible-length, long-horizon predictions and integrating trajectory planning. This is be"
5,jdoW4zmDg3,DeepVerse: 4D Autoregressive Video Generation as a World Model,Junyi Chen; Haoyi Zhu; Xianglong He; Yifan Wang; Jianjun Zhou,2026,ICLR 2026,main,Withdraw,generative models,generative model;autoregressive model;world model;4d generation,0,0.840,0.566,,https://openreview.net/forum?id=jdoW4zmDg3,,offline_iclr,,"World models serve as essential building blocks toward Artificial General Intelligence (AGI), enabling intelligent agents to predict future states and plan actions by simulating complex physical interactions. However, existing interactive models primarily predict visual observations, thereby neglect"
6,IqXlvYA7En,Condition Errors Refinement in Autoregressive Image Generation with Diffusion Loss,,2026,ICLR 2026,main,Active,"foundation or frontier models, including LLMs",Language Models;Autoregressive Language Models;Autoregressive Image Generation,0,0.745,0.566,,https://openreview.net/forum?id=IqXlvYA7En,,offline_iclr,,"Recent studies have explored autoregressive models for image generation, with promising results, and have combined diffusion models with autoregressive frameworks to optimize image generation via diffusion losses. In this study, we present a theoretical analysis of diffusion and autoregressive model"
7,jNEdA3ZpGI,Autoregressive Direct Preference Optimization,,2026,ICLR 2026,main,Active,reinforcement learning,Direct Preference Optimization;Bradley-Terry Model;Large Language Models,0,0.716,0.564,,https://openreview.net/forum?id=jNEdA3ZpGI,,offline_iclr,,"Direct preference optimization (DPO) has emerged as a promising approach for aligning large language models (LLMs) with human preferences. However, the widespread reliance on the response-level Bradley-Terry (BT) model may limit its full potential, as the reference and learnable models are assumed t"
8,FzfYoUp8F1,Learning World Models for Interactive Video Generation,Taiye Chen; Xun Hu; Zihan Ding; Chi Jin,2025,NIPS 2025,main,Poster,deep_learning,world model;diffusion model;video generation,0,0.917,0.564,,https://openreview.net/forum?id=FzfYoUp8F1,,offline_nips,,"Foundational world models must be both interactive and preserve spatialtemporal coherence to enable effective future planning with different action choices. However, present models for long video generation have limited inherent world modeling capabilities due to two main challenges: compounding err"
9,EIEVNiraPS,Spiral Evolution of Visual World Model: Reclaiming Autoregression from the Diffusion Era,Wei Yu; Runjia Qian; Songheng Yin; Animesh Garg,2025,NIPS 2025,Position,Reject,,Interactive World Model; Autoregressive Prediction; Video Generation; Multimodal-Controlled Video Generation,0,0.893,0.563,,https://openreview.net/forum?id=EIEVNiraPS,,offline_nips,,"Recent advances in video generation have been dominated by diffusion-based models, which produce high-quality, prompt-faithful sequences through holistic denoising. While this paradigm has achieved striking visual fidelity, it falls short for real-time, interactive applications that require frame-le"
10,76flfkkawe,LongScape: Advancing Long-Horizon Embodied World Models with Context-Aware MoE,,2026,ICLR 2026,main,Active,"applications to computer vision, audio, language, and other modalities",embodied world model;long-horizon video generation,0,0.817,0.562,,https://openreview.net/forum?id=76flfkkawe,,offline_iclr,,"Video-based world models hold significant potential for generating high-quality embodied manipulation data. However, current video generation methods struggle to achieve stable long-horizon generation: classical diffusion-based approaches often suffer from temporal inconsistency and visual drift ove"
11,2088,DrivingGPT: Unifying Driving World Modeling and Planning with Multi-modal Autoregressive Transformers,Yuntao Chen; Yuqi Wang; Zhaoxiang Zhang,2025,ICCV 2025,main,Poster,,,0,0.926,0.560,,https://iccv.thecvf.com/virtual/2025/poster/2088,https://openaccess.thecvf.com/content/ICCV2025/papers/Chen_DrivingGPT_Unifying_Driving_World_Modeling_and_Planning_with_Multi-modal_Autoregressive_ICCV_2025_paper.pdf,offline_iccv,,"World model-based searching and planning are widely recognized as a promising path toward human-level physical intelligence. However, current driving world models primarily rely on video diffusion models, which specialize in visual generation but lack the flexibility to incorporate other modalities "
12,h06l9w1clt,Locality-aware Parallel Decoding for Efficient Autoregressive Image Generation,,2026,ICLR 2026,main,Active,generative models,Efficient Autoregressive Image Generation;Parallel Decoding,0,0.770,0.557,,https://openreview.net/forum?id=h06l9w1clt,,offline_iclr,,"We present Locality-aware Parallel Decoding (LPD) to accelerate autoregressive image generation. Traditional autoregressive image generation relies on next-patch prediction, a memory-bound process that leads to high latency. Existing works have tried to parallelize next-patch prediction by shifting "
