Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
200,WcZUevpX3H3,Personalized Neural Architecture Search for Federated Learning,Minh Hoang; Carl Kingsford,2022,ICLR 2022,main,Reject,,Personalized Learning;Federated Learning,0,6.198,0.000,,https://openreview.net/forum?id=WcZUevpX3H3,,offline_iclr,,"Federated Learning (FL) is a recently proposed learning paradigm for decentralized devices to collaboratively train a predictive model without exchanging private data. Existing FL frameworks, however, assume a one-size-fit-all model architecture to be collectively trained by local devices, which is "
201,,IRLAS: Inverse Reinforcement Learning for Architecture Search,Minghao Guo; Zhao Zhong; Wei Wu; Dahua Lin; Junjie Yan,2019,CVPR 2019,main,Poster,,,0,6.179,0.000,,,https://openaccess.thecvf.com/content_CVPR_2019/papers/Guo_IRLAS_Inverse_Reinforcement_Learning_for_Architecture_Search_CVPR_2019_paper.pdf,offline_cvpr,,"In this paper, we propose an inverse reinforcement learning method for architecture search (IRLAS), which trains an agent to learn to search network structures that are topologically inspired by human-designed network. Most existing architecture search approaches totally neglect the topological char"
202,14116,Meta Architecture Search,Albert Shaw; Wei Wei; Weiyang Liu; Le Song; Bo Dai,2019,NIPS 2019,main,Poster,,,0,6.173,0.000,,https://nips.cc/virtual/2019/poster/14116,https://papers.nips.cc/paper_files/paper/2019/file/ea1818cbe59c23b20f1a10a8aa083a82-Paper.pdf,offline_nips,,"Neural Architecture Search (NAS) has been quite successful in constructing state-of-the-art models on a variety of tasks. Unfortunately, the computational cost can make it difficult to scale. In this paper, we make the first attempt to study Meta Architecture Search which aims at learning a task-agn"
203,CAsH4Z_Xzj7,Architecture Matters in Continual Learning,Seyed Iman Mirzadeh; Arslan Chaudhry; Dong Yin; Timothy Nguyen; Razvan Pascanu,2023,ICLR 2023,main,Reject,,Continual Learning;Catastrophic Forgetting;Neural Network Architecture,0,6.145,0.000,,https://openreview.net/forum?id=CAsH4Z_Xzj7,,offline_iclr,The choice of architecture can significantly impact the continual learning performance.,"A large body of research in continual learning is devoted to overcoming the catastrophic forgetting of neural networks by designing new algorithms that are robust to the distribution shifts. However, the majority of these works are strictly focused on the ""algorithmic"" part of continual learning for"
204,PArJcOptzg,DeepGuiser: Learning to Disguise Neural Architectures for Impeding Adversarial Transfer Attacks,Yi Cai; Chenyu Wang; Xuefei Ning; Zixuan Zhou; Dimin Niu,2023,ICLR 2023,main,Reject,,Neural architecture extraction attack;neural architecture disguising;adversarial robustness;transferability predictor;policy learning,0,6.138,0.000,,https://openreview.net/forum?id=PArJcOptzg,,offline_iclr,"DeepGuiser is an automatic, hardware-agnostic, and retrain-free neural architecture disguising method to disguise the neural architectures, to resist possible adversarial attacks rendered by the model extraction attacks. ","Security is becoming increasingly critical in deep learning applications. Recent researches demonstrate that NN models are vulnerable to adversarial attacks, which can mislead them with only small input perturbations. Moreover, adversaries who know the architecture of victim models can conduct more "
205,m00gjQfpCc,Composer: A Search Framework for Hybrid Neural Architecture Design,,2026,ICLR 2026,main,Active,"foundation or frontier models, including LLMs",Neural architecture search;hybrid models;efficient ML,0,6.134,0.000,,https://openreview.net/forum?id=m00gjQfpCc,,offline_iclr,,"Hybrid model architectures that combine computational primitives (e.g., Attention, MLP) in different ratios have shown promising performance beyond Transformers. Some studies have shown that different interleavings of primitives can affect model quality as well. However, prior works explore the hybr"
206,BygGNnCqKQ,Architecture Compression,Anubhav Ashok,2019,ICLR 2019,main,Reject,,compression;architecture search,0,6.131,0.000,,https://openreview.net/forum?id=BygGNnCqKQ,,offline_iclr,Novel gradient descent approach to perform model compression in architecture space,"In this paper we propose a novel approach to model compression termed Architecture Compression. Instead of operating on the weight or filter space of the network like classical model compression methods, our approach operates on the architecture space. A 1-D CNN encoder/decoder is trained to learn a"
207,l5XHUBGrBkD,RNAS-CL: Robust Neural Architecture Search by Cross-Layer Knowledge Distillation,Utkarsh Nath; Yancheng Wang; Yingzhen Yang,2023,ICLR 2023,main,Reject,,Robust Neural Architecture Search;Knowledge Distillation;Efficient Deep Learning Model,0,6.129,0.000,,https://openreview.net/forum?id=l5XHUBGrBkD,,offline_iclr,,"Deep Neural Networks are vulnerable to adversarial attacks. Neural Architecture Search (NAS), one of the driving tools of deep neural networks, demonstrates superior performance in prediction accuracy in various machine learning applications. However, it is unclear how it performs against adversaria"
208,18078,Does Unsupervised Architecture Representation Learning Help Neural Architecture Search?,Shen Yan; Yu Zheng; Wei Ao; Xiao Zeng; Mi Zhang,2020,NIPS 2020,main,Poster,,,0,6.120,0.000,,https://nips.cc/virtual/2020/poster/18078,https://papers.nips.cc/paper_files/paper/2020/file/937936029af671cf479fa893db91cbdd-Paper.pdf,offline_nips,,"Existing Neural Architecture Search (NAS) methods either encode neural architectures using discrete encodings that do not scale well, or adopt supervised learning-based methods to jointly learn architecture representations and optimize architecture search on such representations which incurs search "
209,rws9sRnBEf,DAG-NAS: Explainable Neural Architecture Search\\for Reinforcement Learning via Scalar-level DAG Modeling,Taegun An; Changhee Joo,2025,ICLR 2025,main,Desk Reject,"other topics in machine learning (i.e., none of the above)",automated machine learning;neural architecture search;directed acyclic graphs;reinforcement learning,0,6.118,0.000,,https://openreview.net/forum?id=rws9sRnBEf,,offline_iclr,,We present an explainable and effective Neural Architecture Search (NAS) framework for Reinforcement Learning (RL). We model a feed-forward neural network as a Directed Acyclic Graph (DAG) that consists of scalar-level operations and their interconnections. We train the model for RL tasks using a di
210,jKLyKeZfzv,MOTE-NAS: Multi-Objective Training-based Estimate for Efficient Neural Architecture Search,Yuming Zhang; Jun Wei Hsieh; Xin Li; Ming-Ching Chang; Chun-Chieh Lee,2024,NIPS 2024,main,Poster,optimization_for_deep_networks,neural architecture search;few-cost;training-related estimate.,0,6.112,0.000,,https://neurips.cc/virtual/2024/poster/93966,https://openreview.net/pdf?id=jKLyKeZfzv,offline_nips,,Neural Architecture Search (NAS) methods seek effective optimization toward performance metrics regarding model accuracy and generalization while facing challenges regarding search costs and GPU resources. Recent Neural Tangent Kernel (NTK) NAS methods achieve remarkable search efficiency based on a
211,14ee3141f4,An Input Output HMM Architecture,Yoshua Bengio; Paolo Frasconi,1994,NIPS 1994,main,Poster,,,0,6.108,0.000,,https://papers.nips.cc/paper_files/paper/1994/hash/8065d07da4a77621450aa84fee5656d9-Abstract.html,https://papers.nips.cc/paper_files/paper/1994/file/8065d07da4a77621450aa84fee5656d9-Paper.pdf,offline_nips,,"We  introduce  a  recurrent  architecture  having  a  modular structure  and we formulate a training procedure based on the EM  algorithm.  The resulting model has similarities to hidden  Markov models, but  supports  recurrent  networks  processing style and allows  to exploit  the supervised  lear"
212,1toB0Fo9CZy,Neural Architecture Search of SPD Manifold Networks,Rhea Sanjay Sukthanker; Zhiwu Huang; Suryansh Kumar; Erik Goron; Yan Wu,2021,ICLR 2021,main,Reject,,Neural Architecture Search;AutoML,0,6.084,0.000,,https://openreview.net/forum?id=1toB0Fo9CZy,,offline_iclr,,"In this paper, we propose a new neural architecture search (NAS) problem of Symmetric Positive Definite (SPD) manifold networks. Unlike the conventional NAS problem, our problem requires to search for a unique computational cell called the SPD cell. This SPD cell serves as a basic building block of "
213,aKt7FHPQxVV,Efficient Differentiable Neural Architecture Search with Model Parallelism,Yi-Wei Chen; Qingquan Song; Xia Hu,2021,ICLR 2021,main,Reject,,Neural Architecture Search;Model Parallel,0,6.071,0.000,,https://openreview.net/forum?id=aKt7FHPQxVV,,offline_iclr,,"Neural architecture search (NAS) automatically designs effective network architectures. Differentiable NAS with supernets that encompass all potential architectures in a large graph cuts down search overhead to few GPU days or less. However, these algorithms consume massive GPU memory, which will re"
214,lIfPlwkBeU,Multi-conditioned Graph Diffusion for Neural Architecture Search,Rohan Asthana; Joschua Conrad; Youssef Dawoud; Maurits Ortmanns; Vasileios Belagiannis,2024,ICLR 2024,main,Withdraw,"representation learning for computer vision, audio, language, and other modalities",Neural Architecture Search;Diffusion Models;Deep Neural Networks;Generative Models,0,6.050,0.000,,https://openreview.net/forum?id=lIfPlwkBeU,,offline_iclr,,"Neural architecture search automates the design of neural network architectures usually by exploring a large and thus complex architecture search space. To advance the architecture search, we present a graph diffusion-based NAS approach that uses discrete conditional graph diffusion processes to gen"
215,eS4MAmmCHy,PEL-NAS: Search Space Partitioned Architecture Prompt Co-evolutionary LLM-driven Hardware-Aware Neural Architecture Search,,2026,ICLR 2026,main,Active,"infrastructure, software libraries, hardware, systems, etc.",Large Language Model;Hardware-aware;Neural Architecture Search,0,6.045,0.000,,https://openreview.net/forum?id=eS4MAmmCHy,,offline_iclr,,"Hardware-Aware Neural Architecture Search (HW-NAS) requires joint optimization of accuracy and latency under device constraints. 
Traditional supernet-based methods require multiple GPU days per dataset. Large Language Model (LLM)-driven approaches avoid training a large supernet and can provide qui"
216,_dDmyNX8aZV,RNAS: Robust Network Architecture Search beyond DARTS,Yaguan Qian; Shenghui Huang; Yuqi Wang; Simin Li,2022,ICLR 2022,main,Withdraw,,,0,6.044,0.000,,https://openreview.net/forum?id=_dDmyNX8aZV,,offline_iclr,,"The vulnerability of Deep Neural Networks (DNNs) (i.e., susceptibility to adversarial attacks) severely limits the application of DNNs. Most of the existing methods improve the robustness of the model from weights optimization, such as adversarial training and regularization. However, the architectu"
