Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,,Development Education,Jef Verhoeven,2025,,,,,,197,0.000,0.000,10.5040/9781350441491.ch-12,https://openalex.org/W2522369617,https://lirias.kuleuven.be/bitstream/123456789/82197/1/UNESCOENGELS.pdf,openalex,,"sponsorship: Afd. Theoret., cultuur- en onderwijssoc."
2,,Learning Visual Representation for Autonomous Drone Navigation via a Contrastive World Model,Jiang Zhao; Yibo Wang; Zhihao Cai; Ningjun Liu; Kun Wu,2024,IEEE Transactions on Artificial Intelligence,,,,,8,0.000,0.000,10.1109/TAI.2023.3283488,https://www.semanticscholar.org/paper/d7b0ecfd49af85ff10a93ae879862751280e7fce,,semantic_scholar,,Visuomotor policy learning for vision-based navigation tasks is still challenging and necessary for autonomous systems. Learning a task-specific policy from scratch simplifies the training pipeline while suffering from poor data efficiency and transfer ability. This problem intends to be more intrac
3,,ScaleNet: An Unsupervised Representation Learning Method for Limited Information,Huili Huang; M. M. Roozbahani,2023,German Conference on Pattern Recognition,,,,,787,0.000,0.000,10.1007/978-3-030-92659-5_11,https://www.semanticscholar.org/paper/13ec42ad568a73e48c29e9977155a980bb102a52,,semantic_scholar,,"Although large-scale labeled data are essential for deep convolutional neural networks (ConvNets) to learn high-level semantic visual representations, it is time-consuming and impractical to collect and annotate large-scale datasets. A simple and efficient unsupervised representation learning method"
4,,Wave-ViT: Unifying Wavelet and Transformers for Visual Representation Learning,Ting Yao; Yingwei Pan; Yehao Li; C. Ngo; Tao Mei,2022,European Conference on Computer Vision,,,,,187,0.000,0.000,10.48550/arXiv.2207.04978,https://www.semanticscholar.org/paper/0b8e8760d7dd64c7439019aeb3b6ac55dd5075d4,http://arxiv.org/pdf/2207.04978,semantic_scholar,,"Multi-scale Vision Transformer (ViT) has emerged as a powerful backbone for computer vision tasks, while the self-attention computation in Transformer scales quadratically w.r.t. the input patch number. Thus, existing solutions commonly employ down-sampling operations (e.g., average pooling) over ke"
5,,M2CURL: Sample-Efficient Multimodal Reinforcement Learning via Self-Supervised Representation Learning for Robotic Manipulation,Fotios Lygerakis; Vedant Dave; Elmar Rueckert,2024,2024 21st International Conference on Ubiquitous Robots (UR),,,,,9,0.000,0.000,10.1109/UR61395.2024.10597462,https://www.semanticscholar.org/paper/fbf083f969ee8142809a74b0ab143210c3aecf89,,semantic_scholar,,"One of the most critical aspects of multimodal Reinforcement Learning (RL) is the effective integration of different observation modalities. Having robust and accurate representations derived from these modalities is key to en-hancing the robustness and sample efficiency of RL algorithms. However, l"
