Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,2025.acl-long.1493,A Survey on Efficient Large Language Model Training: From Data-centric Perspectives,Junyu Luo; Bohan Wu; Xiao Luo; Zhiping Xiao; Yiqiao Jin,2025,ACL 2025,main,Long,,,0,22.547,0.000,,https://aclanthology.org/2025.acl-long.1493/,https://aclanthology.org/2025.acl-long.1493.pdf,offline_acl,,"Post-training of Large Language Models (LLMs) is crucial for unlocking their task generalization potential and domain-specific capabilities. However, the current LLM post-training paradigm faces significant data challenges, including the high costs of manual annotation and diminishing marginal retur"
2,paper757,Text Transformations in Contrastive Self-Supervised Learning: A Review,Amrita Bhattacharjee; Mansooreh Karami; Huan Liu,2022,IJCAI 2022,Survey Track,Poster,,Survey Track: -; Survey Track: Natural Language Processing; Survey Track: Machine Learning; Survey Track: Data Mining,0,22.323,0.000,,https://www.ijcai.org/proceedings/2022/757,https://www.ijcai.org/proceedings/2022/0757.pdf,offline_ijcai,,"Contrastive self-supervised learning has become a prominent technique in representation learning. The main step in these methods is to contrast semantically similar and dissimilar pairs of samples. However, in the domain of Natural Language Processing (NLP), the augmentation methods used in creating"
3,iMqJsQ4evS,LLM as a Mastermind: A Survey of Strategic Reasoning with Large Language Models,Yadong Zhang; Shaoguang Mao; Tao Ge; Xun Wang; Yan Xia,2024,COLM 2024,main,Poster,,Large Language Model;Strategic Reasoning;Multi-Agent System;Decision-Making;Advanced Reasoning,0,20.837,0.000,,https://openreview.net/forum?id=iMqJsQ4evS,,offline_colm,,"This paper presents a comprehensive survey of the current status and opportunities for Large Language Models (LLMs) in strategic reasoning, a sophisticated form of reasoning that necessitates understanding and predicting adversary actions in multi-agent settings while adjusting strategies accordingl"
4,paper784,A Survey of Risk-Aware Multi-Armed Bandits,Vincent Y. F. Tan; Prashanth L.A.; Krishna Jagannathan,2022,IJCAI 2022,Survey Track,Poster,,Survey Track: -; Survey Track: Machine Learning; Survey Track: Constraint Satisfaction and Optimization; Survey Track: Uncertainty in AI,0,19.979,0.000,,https://www.ijcai.org/proceedings/2022/784,https://www.ijcai.org/proceedings/2022/0784.pdf,offline_ijcai,,"In several applications such as clinical trials and financial portfolio optimization, the expected value (or the average reward) does not satisfactorily capture the merits of a drug or a portfolio. In such applications, risk plays a crucial role, and a risk-aware performance measure is preferable, s"
5,h6CQPEYAVp,A Unified Perspective and Review on Tree Search for LLMs Test-Time Scaling,,2026,ICLR 2026,main,Active,"applications to computer vision, audio, language, and other modalities",Test time scaling;MCTS;LLM,0,19.851,0.000,,https://openreview.net/forum?id=h6CQPEYAVp,,offline_iclr,,"As the scaling of large language models (LLMs) during training reaches diminishing returns due to increased resource requirements and limited data availability, focus has shifted toward scalable test-time algorithms. Chain-of-Thought (CoT) reasoning, which enables intermediate reasoning steps in tex"
6,2025.acl-long.140,A Survey of Post-Training Scaling in Large Language Models,Hanyu Lai; Xiao Liu; Junjie Gao; Jiale Cheng; Zehan Qi,2025,ACL 2025,main,Long,,,0,19.379,0.000,,https://aclanthology.org/2025.acl-long.140/,https://aclanthology.org/2025.acl-long.140.pdf,offline_acl,,"Large language models (LLMs) have achieved remarkable proficiency in understanding and generating human natural languages, mainly owing to the “scaling law” that optimizes relationships among language modeling loss, model parameters, and pre-trained tokens. However, with the exhaustion of high-quali"
7,paper602,Bayesian Nonparametric Space Partitions: A Survey,Xuhui Fan; Bin Li; Ling Luo; Scott A. Sisson,2021,IJCAI 2021,Survey Track,Poster,,Machine learning: General,0,19.170,0.000,,https://www.ijcai.org/proceedings/2021/602,https://www.ijcai.org/proceedings/2021/0602.pdf,offline_ijcai,,"Bayesian nonparametric space partition (BNSP) models provide a variety of strategies for partitioning a D-dimensional space into a set of blocks, such that
the data within the same block share certain kinds of homogeneity. BNSP models are applicable to many areas, including regression/classificatio"
8,paper597,Knowledge-aware Zero-Shot Learning: Survey and Perspective,Jiaoyan Chen; Yuxia Geng; Zhuo Chen; Ian Horrocks; Jeff Z. Pan,2021,IJCAI 2021,Survey Track,Poster,,Knowledge representation and reasoning: General; Machine learning: General; Multidisciplinary topics and applications: General,0,19.082,0.000,,https://www.ijcai.org/proceedings/2021/597,https://www.ijcai.org/proceedings/2021/0597.pdf,offline_ijcai,,"Zero-shot learning (ZSL) which aims at predicting classes that have never appeared during the training using external knowledge (a.k.a. side information) has been widely investigated. In this paper we present a literature review towards ZSL in the perspective of external knowledge, where we categori"
9,2024.emnlp-main.764,"A Systematic Survey and Critical Review on Evaluating Large Language Models: Challenges, Limitations, and Recommendations",Md Tahmid Rahman Laskar; Sawsan Alqahtani; M Saiful Bari; Mizanur Rahman; Mohammad Abdullah Matin Khan,2024,EMNLP 2024,main,Main,,,0,19.071,0.000,,https://aclanthology.org/2024.emnlp-main.764/,https://aclanthology.org/2024.emnlp-main.764.pdf,offline_emnlp,,"Large Language Models (LLMs) have recently gained significant attention due to their remarkable capabilities in performing diverse tasks across various domains. However, a thorough evaluation of these models is crucial before deploying them in real-world applications to ensure they produce reliable "
10,KpZkR11SjD,TravelReasoner: Reasoning-Augmented Travel Survey Simulations with Large Reasoning Models,Peijie Liu; Fengli Xu; Yong Li,2026,ICLR 2026,main,Withdraw,"applications to computer vision, audio, language, and other modalities",Travel Surveys Simulation;Large Langange Models;LLM Reasoning;LLM Application,0,18.896,0.000,,https://openreview.net/forum?id=KpZkR11SjD,,offline_iclr,,"Travel survey plays a central role in a wide range of applications, such as urban planning and traffic management. Large language models (LLMs) have recently demonstrated huge potential in simulating human behaviours. However, previous works in travel survey simulation research have primarily focuse"
11,paper771,Neural Re-ranking in Multi-stage Recommender Systems: A Review,Weiwen Liu; Yunjia Xi; Jiarui Qin; Fei Sun; Bo Chen,2022,IJCAI 2022,Survey Track,Poster,,Survey Track: -,0,18.412,0.000,,https://www.ijcai.org/proceedings/2022/771,https://www.ijcai.org/proceedings/2022/0771.pdf,offline_ijcai,,"As the final stage of the multi-stage recommender system (MRS), re-ranking directly affects users’ experience and satisfaction by rearranging the input ranking lists, and thereby plays a critical role in MRS. With the advances in deep learning, neural re-ranking has become a trending topic and been "
12,2025.acl-long.256,Knowledge Boundary of Large Language Models: A Survey,Moxin Li; Yong Zhao; Wenxuan Zhang; Shuaiyi Li; Wenya Xie,2025,ACL 2025,main,Long,,,0,16.303,0.000,,https://aclanthology.org/2025.acl-long.256/,https://aclanthology.org/2025.acl-long.256.pdf,offline_acl,,"Although large language models (LLMs) store vast amount of knowledge in their parameters, they still have limitations in the memorization and utilization of certain knowledge, leading to undesired behaviors such as generating untruthful and inaccurate responses. This highlights the critical need to "
13,2024.emnlp-main.646,Puzzle Solving using Reasoning of Large Language Models: A Survey,Panagiotis Giadikiaroglou; Maria Lymperaiou; Giorgos Filandrianos; Giorgos Stamou,2024,EMNLP 2024,main,Main,,,0,15.858,0.000,,https://aclanthology.org/2024.emnlp-main.646/,https://aclanthology.org/2024.emnlp-main.646.pdf,offline_emnlp,,"Exploring the capabilities of Large Language Models (LLMs) in puzzle solving unveils critical insights into their potential and challenges in AI, marking a significant step towards understanding their applicability in complex reasoning tasks. This survey leverages a unique taxonomy—dividing puzzles "
14,2024.emnlp-main.767,Related Work and Citation Text Generation: A Survey,Xiangci Li; Jessica Ouyang,2024,EMNLP 2024,main,Main,,,0,15.218,0.000,,https://aclanthology.org/2024.emnlp-main.767/,https://aclanthology.org/2024.emnlp-main.767.pdf,offline_emnlp,,"To convince readers of the novelty of their research paper, authors must perform a literature review and compose a coherent story that connects and relates prior works to the current work. This challenging nature of literature review writing makes automatic related work generation (RWG) academically"
15,2024.emnlp-main.54,Large Language Models for Data Annotation and Synthesis: A Survey,Zhen Tan; Dawei Li; Song Wang; Alimohammad Beigi; Bohan Jiang,2024,EMNLP 2024,main,Main,,,0,14.895,0.000,,https://aclanthology.org/2024.emnlp-main.54/,https://aclanthology.org/2024.emnlp-main.54.pdf,offline_emnlp,,"Data annotation and synthesis generally refers to the labeling or generating of raw data with relevant information, which could be used for improving the efficacy of machine learning models. The process, however, is labor-intensive and costly. The emergence of advanced Large Language Models (LLMs), "
16,Itnbse9MMW,An Integrative Survey on Mental Health Conversational Agents to Bridge Computer Science and Medical Perspectives,Young Min Cho; Sunny Rai; Lyle Ungar; João Sedoc; Sharath Chandra Guntuku,2023,EMNLP 2023,main,Long Main,,Conversational Agent;Chatbot;Mental health,0,14.830,0.000,,https://openreview.net/forum?id=Itnbse9MMW,,offline_emnlp,,"Mental health conversational agents (a.k.a. chatbots) are widely studied for their potential to offer accessible support to those experiencing mental health challenges. Previous surveys on the topic primarily consider papers published in either computer science or medicine, leading to a divide in un"
