Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,YeErX16hMC,Mitigating Forgetting in LLM Supervised Fine-Tuning and Preference Learning,Heshan Devaka Fernando; Han Shen; Parikshit Ram; Yi Zhou; Horst Samulowitz,2025,ICLR 2025,main,Reject,optimization,Optimization Trade-off;Large Language Models (LLMs);Supervised Fine-tuning (SFT);Reinforcement Learning from Human Feedback (RLHF),0,15.595,0.000,,https://openreview.net/forum?id=YeErX16hMC,,offline_iclr,,"Post-training of pre-trained LLMs, which typically consists of the supervised fine-tuning (SFT) stage and the preference learning (RLHF or DPO) stage, is crucial to effective and safe LLM applications. The widely adopted approach in post-training popular open-source LLMs is to sequentially perform S"
2,2025.acl-long.1493,A Survey on Efficient Large Language Model Training: From Data-centric Perspectives,Junyu Luo; Bohan Wu; Xiao Luo; Zhiping Xiao; Yiqiao Jin,2025,ACL 2025,main,Long,,,0,15.469,0.000,,https://aclanthology.org/2025.acl-long.1493/,https://aclanthology.org/2025.acl-long.1493.pdf,offline_acl,,"Post-training of Large Language Models (LLMs) is crucial for unlocking their task generalization potential and domain-specific capabilities. However, the current LLM post-training paradigm faces significant data challenges, including the high costs of manual annotation and diminishing marginal retur"
3,iIEEgI6WsF,Revisiting Parameter Server in LLM Post-Training,,2026,ICLR 2026,main,Active,"infrastructure, software libraries, hardware, systems, etc.",Distributed Training;ZeRO Optimizer;FSDP;Parameter Server,0,15.233,0.000,,https://openreview.net/forum?id=iIEEgI6WsF,,offline_iclr,,"Modern data parallel (DP) training favors collective communication over parameter servers (PS) for its simplicity and efficiency under balanced workloads. However, the balanced workload assumption no longer holds in large language model (LLM) post-training due to the large variance in sequence lengt"
4,1J1Kju4rto,$Q\sharp$: Provably Optimal Distributional RL for LLM Post-Training,Jin Peng Zhou; Kaiwen Wang; Jonathan Daniel Chang; Zhaolin Gao; Nathan Kallus,2025,ICML 2025,main,Reject,reinforcement_learning,large language models;distributional RL;reasoning,0,15.049,0.000,,https://openreview.net/forum?id=1J1Kju4rto,,offline_icml,,"Reinforcement learning (RL) post-training is crucial for LLM alignment and reasoning, but existing policy-based methods, such as PPO and DPO, can fall short of fixing shortcuts inherited from pre-training. In this work, we introduce $Q\sharp$, a value-based algorithm for KL-regularized RL that guide"
5,0kiFgLo5al,Generalizable LLM Learning of Graph Synthetic Data with Post-training Alignment,Yizhuo Zhang; Heng Wang; Shangbin Feng; Zhaoxuan Tan; Xinyun Liu,2026,ICLR 2026,main,Withdraw,"applications to computer vision, audio, language, and other modalities",large language models;graph reasoning,0,14.987,0.000,,https://openreview.net/forum?id=0kiFgLo5al,,offline_iclr,,"Previous research has sought to enhance the graph reasoning capabilities of LLMs by supervised fine-tuning on synthetic graph data. While these led to specialized LLMs better at solving graph algorithm problems, we don't need LLMs for shortest path: we need generalization from synthetic graph data t"
6,HL1j92hb6z,"First SFT, Second RL, Third UPT: Continual Improving Multi-Modal LLM Reasoning via Unsupervised Post-Training",Lai Wei; Yuting Li; Chen Wang; Yue Wang; Linghe Kong,2025,NIPS 2025,main,Poster,deep_learning,Multi-modal Large Language Models;Multi-modal Reasoning;Self-Improvement;Unsupervised Post-Training,0,14.679,0.000,,https://openreview.net/forum?id=HL1j92hb6z,,offline_nips,,"Improving Multi-modal Large Language Models (MLLMs) in the post-training stage typically relies on supervised fine-tuning (SFT) or reinforcement learning (RL), which require expensive and manually annotated multi-modal data--an ultimately unsustainable resource.
This limitation has motivated a growi"
7,KjHB7rebQO,RiskPO: Risk-based Policy Optimization with Verifiable Reward for LLM Post-Training,,2026,ICLR 2026,main,Active,reinforcement learning,Reinforcement Learning with Verifiable Reward;Risk-Sensitive RL,0,14.230,0.000,,https://openreview.net/forum?id=KjHB7rebQO,,offline_iclr,,"Reinforcement learning with verifiable reward has recently emerged as a central paradigm for post-training large language models (LLMs); however, prevailing mean-based methods, such as Group Relative Policy Optimization (GRPO), suffer from entropy collapse and limited reasoning gains. We argue that "
8,LNYIUouhdt,SVD-LLM: Truncation-aware Singular Value Decomposition for Large Language Model Compression,Xin Wang; Yu Zheng; Zhongwei Wan; Mi Zhang,2025,ICLR 2025,main,Poster,"foundation or frontier models, including LLMs",Large Language Model; Post-training Model Compression,0,14.197,0.000,,https://iclr.cc/virtual/2025/poster/30003,https://openreview.net/pdf?id=LNYIUouhdt,offline_iclr,,"The advancements in Large Language Models (LLMs) have been hindered by
their substantial sizes, which necessitates LLM compression methods for practical
deployment. Singular Value Decomposition (SVD) offers a promising solution for
LLM compression. However, state-of-the-art SVD-based LLM compression"
9,2024.acl-long.544,On the Impact of Calibration Data in Post-training Quantization and Pruning,Miles Williams; Nikolaos Aletras,2024,ACL 2024,main,Long,,,0,13.865,0.000,,https://aclanthology.org/2024.acl-long.544/,https://aclanthology.org/2024.acl-long.544.pdf,offline_acl,,"Quantization and pruning form the foundation of compression for neural networks, enabling efficient inference for large language models (LLMs). Recently, various quantization and pruning techniques have demonstrated remarkable performance in a post-training setting. They rely upon calibration data, "
10,2025.findings-acl.459,Achieving binary weight and activation for LLMs using Post-Training Quantization,Siqing Song; Chuang Wang; Rui-Qi Wang; Yi Yang; Xu-Yao Zhang,2025,ACL 2025,main,finding,,,0,13.780,0.000,,https://aclanthology.org/2025.findings-acl.459/,https://aclanthology.org/2025.findings-acl.459.pdf,offline_acl,,"Quantizing large language models (LLMs) to 1-bit precision significantly reduces computational costs, but existing quantization techniques suffer from noticeable performance degradation when using weight and activation precisions below 4 bits (W4A4). In this paper, we propose a post-training quantiz"
