Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,,Tuning Large Multimodal Models for Videos using Reinforcement Learning from AI Feedback,Daechul Ahn; Yura Choi; Youngjae Yu; Dongyeop Kang; Jonghyun Choi,2024,Annual Meeting of the Association for Computational Linguistics,,,,,31,0.000,0.000,10.48550/arXiv.2402.03746,https://www.semanticscholar.org/paper/badaaee23c1ee33fa747165acb179662598ec6bd,,semantic_scholar,,"Recent advancements in large language models have influenced the development of video large multimodal models (VLMMs). The previous approaches for VLMMs involved Supervised Fine-Tuning (SFT) with instruction-tuned datasets, integrating LLM with visual encoders, and adding additional learnable module"
2,,From Illusion to Insight: A Taxonomic Survey of Hallucination Mitigation Techniques in LLMs,Ioannis Kazlaris; Efstathios Antoniou; Konstantinos Diamantaras; Charalampos Bratsas,2025,Preprints.org,,,,,2,0.000,0.000,10.20944/preprints202508.1942.v1,https://openalex.org/W4413800076,https://www.preprints.org/frontend/manuscript/c5286594616981962a5a361fb2f51efc/download_pub,openalex,,"Large Language Models (LLMs) exhibit remarkable generative capabilities but remain susceptible to hallucinations—outputs that are fluent yet inaccurate, ungrounded, or in-consistent with source material. This paper presents a method-oriented taxonomy of hallucination mitigation strategies in text-ba"
3,,Deliberative Alignment: Reasoning Enables Safer Language Models,Melody Y. Guan; Manas Joglekar; Eric Wallace; Saachi Jain; Boaz Barak,2025,SuperIntelligence - Robotics - Safety & Alignment,,,,,7,0.000,0.000,10.70777/si.v2i3.15159,https://openalex.org/W4412505606,https://s-rsa.com/index.php/agi/article/download/15159/11077,openalex,,"As large-scale language models increasingly impact safety-critical domains, ensuring their reliable adherence to well-defined principles remains a fundamental challenge. We introduce Deliberative Alignment, a new paradigm that directly teaches the model safety specifications and trains it to explici"
4,,Data Optimization for LLMs: A Survey,Ou Wu,2025,,,,,,0,0.000,0.000,10.36227/techrxiv.174776562.20873028/v1,https://openalex.org/W4410534250,https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.174776562.20873028/v1,openalex,,
5,,Sailing by the Stars: A Survey on Reward Models and Learning Strategies for Learning from Rewards,Xiaobao Wu,2025,arXiv (Cornell University),,,,,0,0.000,0.000,10.48550/arxiv.2505.02686,https://openalex.org/W4417346923,https://arxiv.org/pdf/2505.02686,openalex,,"Recent developments in Large Language Models (LLMs) have shifted from pre-training scaling to post-training and test-time scaling. Across these developments, a key unified paradigm has arisen: Learning from Rewards, where reward signals act as the guiding stars to steer LLM behavior. It has underpin"
6,,"Preference Tuning with Human Feedback on Language, Speech, and Vision Tasks: A Survey",Genta Indra Winata; Hanyang Zhao; Anirban Das; Wenpin Tang; David D. Yao,2025,Journal of Artificial Intelligence Research,,,,,0,0.000,0.000,10.1613/jair.1.17541,https://openalex.org/W4409996147,https://www.jair.org/index.php/jair/article/download/17541/27180,openalex,,Preference tuning is a crucial process for aligning deep generative models with human preferences. This survey offers a thorough overview of recent advancements in preference tuning and the integration of human feedback. The paper is organized into three main sections: 1) introduction and preliminar
7,,C3AI: Crafting and Evaluating Constitutions for Constitutional AI,Yara Kyrychenko; Ke Zhou; Edyta P. Bogucka; Daniele Quercia,2025,,,,,,1,0.000,0.000,10.1145/3696410.3714705,https://openalex.org/W4409657380,https://dl.acm.org/doi/pdf/10.1145/3696410.3714705,openalex,,"Constitutional AI (CAI) guides LLM behavior using constitutions, but identifying which principles are most effective for model alignment remains an open challenge. We introduce the C3AI framework (\textit{Crafting Constitutions for CAI models}), which serves two key functions: (1) selecting and stru"
8,,Beyond Single-Turn: A Survey on Multi-Turn Interactions with Large Language Models,Y. X. Li; Xin Shen; Xinyu Yao; Xueying Ding; Yinbin Miao,2025,arXiv (Cornell University),,,,,0,0.000,0.000,10.48550/arxiv.2504.04717,https://openalex.org/W4416526775,https://arxiv.org/pdf/2504.04717,openalex,,"Recent advancements in large language models (LLMs) have revolutionized their ability to handle single-turn tasks, yet real-world applications demand sophisticated multi-turn interactions. This survey provides a comprehensive review of recent advancements in evaluating and enhancing multi-turn inter"
9,,Beyond the Safety Bundle: Auditing the Helpful and Harmless Dataset,Khaoula Chehbouni; Jonathan Colaço Carr; Yash More; Jackie CK Cheung; Golnoosh Farnadi,2025,,,,,,0,0.000,0.000,10.18653/v1/2025.naacl-long.596,https://openalex.org/W4411120298,https://aclanthology.org/2025.naacl-long.596.pdf,openalex,,
10,,Beyond Reactive Safety: Risk-Aware LLM Alignment via Long-Horizon Simulation,Chuanbin Sun; Di Zhang; ChengXiang Zhai; Heng Ji,2025,,,,,,0,0.000,0.000,10.18653/v1/2025.findings-acl.332,https://openalex.org/W4412888670,https://aclanthology.org/2025.findings-acl.332.pdf,openalex,,
