Rank,ID,Title,Authors,Year,Venue,Track,Status,Primary Area,Keywords,Citations,BM25 Score,Combined Score,DOI,URL,PDF,Source,TLDR,Abstract
1,2025.findings-acl.36,Exploring Multi-Modal Data with Tool-Augmented LLM Agents for Precise Causal Discovery,ChengAo Shen; Zhengzhang Chen; Dongsheng Luo; Dongkuan Xu; Haifeng Chen,2025,ACL 2025,main,finding,,,0,19.729,0.000,,https://aclanthology.org/2025.findings-acl.36/,https://aclanthology.org/2025.findings-acl.36.pdf,offline_acl,,"Causal discovery is an imperative foundation for decision-making across domains, such as smart health, AI for drug discovery and AIOps. Traditional statistical causal discovery methods, while well-established, predominantly rely on observational data and often overlook the semantic cues inherent in "
2,53kUa92R7J,Loius (Look it up in the Structure): Benchmark and Techniques for Document structure aware LLM based Retrieval,Vineet Kumar; vishwajeet kumar; Jaydeep Sen; Riyaz Ahmad Bhat; Sachindra Joshi,2025,ICLR 2025,main,Withdraw,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",information retrieval;llm;model based retrieval;document search;retrieval benchmark;document structure;benchmark,0,18.749,0.000,,https://openreview.net/forum?id=53kUa92R7J,,offline_iclr,,"We thank the reviewers for their valuable feedback. We have decided to withdraw the submission
from ICLR after careful consideration."
3,67dc34f423,Unsupervised Structure Discovery for Semantic Analysis of Audio,Sourish Chaudhuri; Bhiksha Raj,2012,NIPS 2012,main,Poster,,,0,18.571,0.000,,https://papers.nips.cc/paper_files/paper/2012/hash/c6e19e830859f2cb9f7c8f8cacb8d2a6-Abstract.html,https://papers.nips.cc/paper_files/paper/2012/file/c6e19e830859f2cb9f7c8f8cacb8d2a6-Paper.pdf,offline_nips,,"Approaches to audio classification and retrieval tasks largely rely on detection-based discriminative models. We submit that such models make a simplistic assumption in mapping acoustics directly to semantics, whereas the actual process is likely more complex. We present a generative model that maps"
4,2249,PLOT: Text-based Person Search with Part Slot Attention for Corresponding Part Discovery,Jicheol Park; Dongwon Kim; Boseung Jeong; Suha Kwak*,2024,ECCV 2024,main,Poster,,,0,18.473,0.000,,https://eccv2024.ecva.net//virtual/2024/poster/2249,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/03209.pdf,offline_eccv,,"""Text-based person search, employing free-form text queries to identify individuals within a vast image collection, presents a unique challenge in aligning visual and textual representations, particularly at the human part level. Existing methods often struggle with part feature extraction and align"
5,Qq4jSruxNE,LLM-GC: Temporal-Semantic Disentanglement with Retrieval Augmentation to Activate LLM's Ability for Multimodal Granger Causal Discovery,Bo Liu; Hongyan Li; Shenda Hong,2026,ICLR 2026,main,Withdraw,causal reasoning,Multimodel Granger Causal Discovery;Cross-Modality Alignment;Dual-Modal Time Series Encoding;Causality-Aware Self-Attention,0,18.464,0.000,,https://openreview.net/forum?id=Qq4jSruxNE,,offline_iclr,,"Recent advances in neural Granger causal methods have shown promise in modeling temporal nonlinear dependencies. However, existing approaches remain confined to raw time-series data, inherently lacking contextual semantics and tending to overfit, which undermines their real-world applicability. To a"
6,XaFbHtdoGF,GeoEvolve: Automating Geospatial Model Discovery via Multi-Agent Large Language Models,,2026,ICLR 2026,main,Active,"applications to physical sciences (physics, chemistry, biology, etc.)",Large Language Models;AI for Science;Geospatial modeling,0,18.354,0.000,,https://openreview.net/forum?id=XaFbHtdoGF,,offline_iclr,,"Geospatial modeling provides critical solutions for pressing global challenges such as sustainability and climate change. Existing large language model (LLM)–based algorithm discovery frameworks, such as AlphaEvolve, excel at evolving generic code but lack the domain knowledge and multi-step reasoni"
7,idtEFFfWcI,Proof-Augmented Retrieval and Reasoning: Supervising Language models for Knowledge Graph Completion with Link Predictors,,2026,ICLR 2026,main,Active,"applications to computer vision, audio, language, and other modalities",Knowledge Graph Completion;Neurosymbolic,0,18.350,0.000,,https://openreview.net/forum?id=idtEFFfWcI,,offline_iclr,,"We propose Proof-Augmented Retrieval and Reasoning (PARR), a Rewrite-Retrieve-Read framework that leverages interpretable link predictors to supervise the retrieval and reasoning of LLMs for Knowledge Graph Completion (KGC). We utilize proofs extracted from pre-trained interpretable link predictors "
8,23132,Universal Instance Perception As Object Discovery and Retrieval,Bin Yan; Yi Jiang; Jiannan Wu; Dong Wang; Ping Luo,2023,CVPR 2023,main,Poster,,,0,18.296,0.000,,https://cvpr.thecvf.com/virtual/2023/poster/23132,https://openaccess.thecvf.com/content/CVPR2023/papers/Yan_Universal_Instance_Perception_As_Object_Discovery_and_Retrieval_CVPR_2023_paper.pdf,offline_cvpr,,"All instance perception tasks aim at finding certain objects specified by some queries such as category names, language expressions, and target annotations, but this complete field has been split into multiple independent subtasks. In this work, we present a universal instance perception model of th"
9,bQgaTaN2eG,REDEREF: RECURSIVE DELEGATION AND REFLECTION FOR MULTI-TURN LLM AGENT COLLABORATION WITH DYNAMIC CAPABILITY DISCOVERY,,2026,ICLR 2026,main,Active,"foundation or frontier models, including LLMs",Recursive,0,18.221,0.000,,https://openreview.net/forum?id=bQgaTaN2eG,,offline_iclr,,"Large language models (LLMs) achieve strong single-turn performance, yet real-world deployments demand multi-turn, multi-agent coordination with dynamic routing, reliable credit assignment, and long-horizon memory. We introduce , a lightweight, training-free framework that wraps arbitrary LLM agents"
10,cdxFCHQQnU,LeGIT: LLM Guided Intervention Targeting for Online Causal Discovery,,2026,ICLR 2026,main,Active,"foundation or frontier models, including LLMs",Large Language Model;Experimental Design;Causal Discovery,0,18.192,0.000,,https://openreview.net/forum?id=cdxFCHQQnU,,offline_iclr,,"A fundamental challenge in online causal discovery is designing effective experiments by selecting optimal intervention targets. Conventional numerical methods struggle in the early stages when limited interventional data is available, often yielding noisy or misleading selection guidance. In this w"
11,7FM0GBFhe5,PRKV:Page Restruct KV Cache for High Accuracy and Efficiency LLM Generation,,2026,ICLR 2026,main,Active,"foundation or frontier models, including LLMs",Long-Context LLM Inference;KV Cache Optimization,0,18.105,0.000,,https://openreview.net/forum?id=7FM0GBFhe5,,offline_iclr,,"As the key-value(KV) cache size scales with context length, accessing large KV
cache each step and substantial GPU memory demand challenge us to deploy
LLMs with long contexts.Various sparse attention methods have been proposed
and offloading-based KV retrieval preserves entire KV cache in CPU memor"
12,2025.findings-acl.303,CA-GAR: Context-Aware Alignment of LLM Generation for Document Retrieval,Heng Yu; Junfeng Kang; Rui Li; Qi Liu; Liyang He,2025,ACL 2025,main,finding,,,0,18.041,0.000,,https://aclanthology.org/2025.findings-acl.303/,https://aclanthology.org/2025.findings-acl.303.pdf,offline_acl,,"Information retrieval has evolved from traditional sparse and dense retrieval methods to approaches driven by large language models (LLMs). Recent techniques, such as Generation-Augmented Retrieval (GAR) and Generative Document Retrieval (GDR), leverage LLMs to enhance retrieval but face key challen"
13,2025.acl-long.1390,MIR: Methodology Inspiration Retrieval for Scientific Research Problems,Aniketh Garikaparthi; Manasi Patwardhan; Aditya Sanjiv Kanade; Aman Hassan; Lovekesh Vig,2025,ACL 2025,main,Long,,,0,17.985,0.000,,https://aclanthology.org/2025.acl-long.1390/,https://aclanthology.org/2025.acl-long.1390.pdf,offline_acl,,"There has been a surge of interest in harnessing the reasoning capabilities of Large Language Models (LLMs) to accelerate scientific discovery. While existing approaches rely on grounding the discovery process within the relevant literature, effectiveness varies significantly with the quality and na"
14,wXAn7orB1H,FreeKV: Boosting KV Cache Retrieval for Efficient LLM Inference,,2026,ICLR 2026,main,Active,"infrastructure, software libraries, hardware, systems, etc.",LLM inference;KV cache,0,17.960,0.000,,https://openreview.net/forum?id=wXAn7orB1H,,offline_iclr,,"Large language models (LLMs) have been widely deployed with rapidly expanding context windows to support increasingly demanding applications.
However, long contexts pose significant deployment challenges, primarily due to the KV cache whose size grows proportionally with context length.
While KV cac"
15,2024.emnlp-demo.31,RETAIN: Interactive Tool for Regression Testing Guided LLM Migration,Tanay Dixit; Daniel Lee; Sally Fang; Sai Sree Harsha; Anirudh Sureshan,2024,EMNLP 2024,main,System Demonstrations,,,0,17.933,0.000,,https://aclanthology.org/2024.emnlp-demo.31/,https://aclanthology.org/2024.emnlp-demo.31.pdf,offline_emnlp,,"Large Language Models (LLMs) are increasingly integrated into diverse applications. The rapid evolution of LLMs presents opportunities for developers to enhance applications continuously. However, this constant adaptation can also lead to performance regressions during model migrations. While severa"
16,2024.emnlp-industry.97,Provenance: A Light-weight Fact-checker for Retrieval Augmented LLM Generation Output,Hithesh Sankararaman; Mohammed Nasheed Yasin; Tanner Sorensen; Alessandro Di Bari; Andreas Stolcke,2024,EMNLP 2024,main,Industry,,,0,17.901,0.000,,https://aclanthology.org/2024.emnlp-industry.97/,https://aclanthology.org/2024.emnlp-industry.97.pdf,offline_emnlp,,"We present a light-weight approach for detecting nonfactual outputs from retrieval-augemented generation (RAG). Given a context and putative output, we compute a factuality score that can be thresholded to yield a binary decision to check the results of LLM-based question-answering, summarization, o"
17,X5e2x8JSJP,Structure Guided Equation Discovery with Influence-Based Feedback for Large Language Models,,2026,ICLR 2026,main,Active,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)",LLMs for science;equation discovery,0,17.874,0.000,,https://openreview.net/forum?id=X5e2x8JSJP,,offline_iclr,,"Large Language Models (LLMs) hold significant promise for scientific discovery, particularly in identifying interpretable, closed-form equations from complex data. However, existing LLM-driven approaches often rely on coarse, scalar feedback (e.g., overall Mean Squared Error), limiting the LLM's abi"
18,54TTgXlS2U,FreshStack: Building Realistic Benchmarks for Evaluating Retrieval on Technical Documents,Nandan Thakur; Jimmy Lin; Sam Havens; Michael Carbin; Omar Khattab,2025,NIPS 2025,Datasets & Benchmarks,Poster,datasets_&_benchmarks_illustrating_deep_learning_scenarios,Information Retrieval;Retrieval-Augmented Generation;Evaluation Benchmark;General Framework;Automated LLM Evaluation,0,17.823,0.000,,https://openreview.net/forum?id=54TTgXlS2U,,offline_nips,,"We introduce FreshStack, a holistic framework for automatically building information retrieval (IR) evaluation benchmarks by incorporating challenging questions and answers. FreshStack conducts the following steps:
(1) automatic corpus collection from code and technical documentation,
(2) nugget gen"
19,K1LcmG2jQN,LLM Alignment as Retriever Optimization: An Information Retrieval Perspective,Bowen Jin; Jinsung Yoon; Zhen Qin; Ziqi Wang; Wei Xiong,2025,ICML 2025,main,Poster,deep_learning->large_language_models,information retrieval;LLM alignment,0,17.791,0.000,,https://icml.cc/virtual/2025/poster/45659,https://openreview.net/pdf?id=K1LcmG2jQN,offline_icml,,"Large Language Models (LLMs) have revolutionized artificial intelligence with capabilities in reasoning, coding, and communication, driving innovation across industries. Their true potential depends on effective alignment to ensure correct, trustworthy and ethical behavior, addressing challenges lik"
